id,ticker,dividend_yield,predicted_high,predicted_low,is_odd,last_updated,company_name,total_dividend_2025,previous_close,live_price_2026,base_yield,live_yield,sector,last_mined,last_live_update,pe_ratio,payout_ratio,pbv,roe,beta
88,BKDP.JK,0,,,false,2026-03-06 04:25:52.659052+00,Bukit Darmo Property Tbk,0,54,,,,,2026-03-13 16:48:56.205648+00,,,0,1.2735249,-10.837,0.308
89,BKSL.JK,0,,,false,2026-03-06 04:25:54.064297+00,Sentul City Tbk.,0,106,,,,,2026-03-13 16:48:56.613308+00,,286.48648,0,1.228188,0.409,0.033
90,BKSW.JK,0,,,false,2026-03-06 04:25:55.388298+00,Bank QNB Indonesia Tbk.,0,57,,,,,2026-03-13 16:48:57.087039+00,,950,0,0.42025173,0.049,0.029
91,BLTA.JK,0,,,false,2026-03-06 04:25:56.795791+00,Berlian Laju Tanker Tbk,0,44,,,,,2026-03-13 16:48:57.52906+00,,24.581007,0,14666.667,4.2630002,-0.059
92,BLTZ.JK,0,,,false,2026-03-06 04:25:58.083557+00,Graha Layar Prima Tbk.,0,2700,,,,,2026-03-13 16:41:20.256728+00,,,0,5.6675777,-12.2,0.5
93,BMAS.JK,0,,,false,2026-03-06 04:25:59.409132+00,Bank Maspion Indonesia Tbk.,0,500,,,,,2026-03-13 16:48:57.961021+00,,285.7143,0,1.3920907,0.491,0.155
94,BMSR.JK,0,,,false,2026-03-06 04:26:00.757616+00,Bintang Mitra Semestaraya Tbk,0,320,,,,,2026-03-13 16:48:58.363915+00,,,0,0.44319916,-9.799,-0.948
95,BMTR.JK,0,,,false,2026-03-06 04:26:02.190188+00,Global Mediacom Tbk,0,125,,,,,2026-03-13 16:48:58.761803+00,,3.894081,0,0.12235278,2.617,0.301
96,BNBA.JK,0,,,false,2026-03-06 04:26:03.574329+00,Bank Bumi Arta Tbk,0,640,,,,,2026-03-13 16:48:59.186385+00,,112.28071,0,0.67697644,0.607,-0.334
97,BNBR.JK,0,,,false,2026-03-06 04:26:04.915876+00,Bakrie & Brothers Tbk,0,124,,,,,2026-03-13 16:48:59.578468+00,,43.508774,0,5.580809,11.7139995,0.252
98,BNGA.JK,8.87,,,false,2026-03-06 04:26:06.31741+00,Bank CIMB Niaga Tbk.,155.73,1755,,,,,2026-03-13 16:49:00.018032+00,,6.4149427,56.93,0.7615073,12.457,0.105
